"","[0,3)","[3,7)","[7,13)","[13,16)","[16,19)","[19,30)","[30,40)","[40,50)","[50,60)","[60,+)"
"[0,3)",0.914285714285714,0.163613193584748,0.00714285714285714,0,0,0.0763975155279503,1.3905635967435,0.237577639751553,0.16583850931677,0.190993788819876
"[3,7)",0.0975330823044399,7.40751879699248,0.0927678587325576,0,0,0.3010597656607,1.06433085892307,0.450497213396234,0.312406015037594,0.211889572316709
"[7,13)",0.00272211650336621,0.0593060021564537,9.98639455782313,0.292186065703478,0.0204081632653061,0.216643921017296,1.48109227060976,1.55838529011289,0.47006007782257,0.103741496598639
"[13,16)",0,0,0.601081631129154,8.16190476190476,0.219047619047619,0.250113607270865,0.373752435711441,1.50965594590595,0.628483673029148,0.0476190476190476
"[16,19)",0,0,0.035649311117881,0.185999511414327,9.07142857142857,0.222583654445111,0.337352692814916,0.306584572054436,0.434485323060897,4.59472487485174
"[19,30)",0.010529510920196,0.0696062209337851,0.0783503114234733,0.0439701132289981,0.0460829493087558,2.92741935483871,0.659164601448241,0.332059551940759,0.517627784335897,0.189840955397179
"[30,40)",0.198301608170249,0.254611729510155,0.554220711543236,0.0679846259012886,0.0722665954508742,0.68202499830396,2.51190476190476,1.05470790015798,0.498139503151679,0.408826451865274
"[40,50)",0.0298990505784637,0.0951065254583412,0.514626244602496,0.242337775155835,0.057958904029987,0.303206737908358,0.930783451084502,2.05894105894106,1.05530008820169,0.452682009738267
"[50,60)",0.0202722323384203,0.0640622147976125,0.150776901273141,0.0979944522540741,0.0797828110173638,0.459097370489311,0.427003851766649,1.02503885894842,1.86349206349206,0.979897875323551
"[60,+)",0.0177223034970784,0.0329819920312311,0.0252591475756486,0.00563602526136215,0.640440032487754,0.127809128200667,0.266014024093042,0.333766178687838,0.743816061344374,1.95482295482295
