"","[0,3)","[3,7)","[7,13)","[13,16)","[16,19)","[19,30)","[30,40)","[40,50)","[50,60)","[60,+)"
"[0,3)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[3,7)",NA,9.91836734693878,0.09571251609712,0,0,0.369325860165252,1.6921873133819,0.971097753115827,0.388105418466617,0.308671000196879
"[7,13)",NA,0.0611885060581144,12.8558441558442,0.228852433134197,0.0393321439800556,0.1469368616688,0.810858708861869,1.32276165697027,0.37435074427394,0.292605750244628
"[13,16)",NA,0,0.470792450231966,11.959114959115,0.91867544977424,0.203665864127821,0.450029345106287,1.95223055896219,0.89108049146631,0.297024590925801
"[16,19)",NA,0,0.0687060280462364,0.780073234985491,4.66491228070175,0.232393821708543,0.192489203938027,0.338854001443025,0.81198487164125,0.115098056880781
"[19,30)",NA,0.085389614792285,0.053140419621648,0.0358045737866784,0.0481140123795737,2.67287784679089,0.686751479383854,0.262429628159807,0.54818192207426,0.186649338479722
"[30,40)",NA,0.404809026162465,0.303421130137585,0.0818592034414834,0.0412344105321312,0.710568612957888,2.30102040816327,1.52100950608384,0.681212020911037,0.591217963178763
"[40,50)",NA,0.205012884503717,0.436816150890049,0.313382139508761,0.0640593439461338,0.239626991663936,1.34229626704511,2.00152299725861,1.30318687118805,0.505810575130407
"[50,60)",NA,0.0795851919782459,0.120077087746694,0.138939082147775,0.149101551018404,0.486196619636547,0.583933125075177,1.26581737116642,2.81866047231901,1.74490101239392
"[60,+)",NA,0.0480466516471552,0.071244121872533,0.035154800051775,0.0160430505189678,0.125660393882947,0.384692009980563,0.372938308060406,1.3245108813468,2.38461538461538
