"","[0,3)","[3,7)","[7,13)","[13,16)","[16,19)","[19,30)","[30,40)","[40,50)","[50,60)","[60,+)"
"[0,3)",2.80952380952381,0.2606219751624,0.0476190476190476,0.0142358463032041,0,0.109932752131883,1.68003834582422,0.428571428571429,0.255642956810789,0.456742597834361
"[3,7)",0.155361948489157,8.25187969924812,0.151965517202255,0,0,0.343875088978725,1.41677609832031,0.648842980039173,0.473832923074033,0.42169913412475
"[7,13)",0.0181474433557747,0.0971507525778487,11.0781440781441,0.395037187352284,0.0440185785218392,0.196823888789565,0.709522062434721,1.61029586895599,0.373970662379539,0.313997580148632
"[13,16)",0.0111607142857143,0,0.812665711346267,10.6446428571429,0.915242308841099,0.257966946248196,0.369831008719442,1.46483063819794,0.638834270759182,0.260081754004186
"[16,19)",0,0,0.076892368033904,0.777158058189883,5.56591285162714,0.356251344051806,0.172898627161648,0.399792443355546,0.941014750419944,0.114566616144693
"[19,30)",0.0151515151515152,0.0795052947860669,0.071182301861174,0.0453507346507066,0.0737570450536564,2.90909090909091,0.772212288238266,0.289115908506046,0.547654648204566,0.204496649045137
"[30,40)",0.239582214394816,0.338924508011522,0.265501231828253,0.0672713282165716,0.0370377809610593,0.79899327636658,2.60022148394241,1.39752564937183,0.591977135679625,0.579571745896655
"[40,50)",0.0539355422199738,0.136980206679515,0.53176869738016,0.235142185081093,0.0755795756488486,0.263994488287357,1.23332132688735,2.23429814114845,1.34202580396437,0.450528350240112
"[50,60)",0.03125,0.0971645392054839,0.119955172329982,0.0996083384989916,0.172794794237005,0.485728966905319,0.507441219766142,1.30354257917209,2.67160278745645,1.56474002228659
"[60,+)",0.0423811213384454,0.0656402168790577,0.0764526392563617,0.0307823740473264,0.0159689751539447,0.137675973973765,0.377114082694938,0.332178267780334,1.18775516277226,2.56484962406015
