"","[0,3)","[3,7)","[7,13)","[13,16)","[16,19)","[19,30)","[30,40)","[40,50)","[50,60)","[60,+)"
"[0,3)",1.96428571428571,0.155853763747617,0.0357142857142857,0.0455547081702532,0,NA,2.09565873181635,0.482142857142857,0.205357142857143,0.351664177614076
"[3,7)",0.0929075316849639,7.43386243386243,0.113924504650148,0,0,NA,2.37212015157066,0.565717391496612,0.613464102318596,0.224467734927931
"[7,13)",0.013610582516831,0.0728313341578014,11.9348659003831,0.407443139076508,0.0317460317460317,NA,0.793433639197347,1.39189582822852,0.606226829191584,0.340016967697484
"[13,16)",0.0357142857142857,0,0.838187084790796,8.64285714285714,0.284385622902088,NA,0.566204198973496,1.44794663959943,0.889135077548189,0.5
"[16,19)",0,0,0.0554544839611482,0.241479853298695,3.11904761904762,NA,0.516000779656337,0.223799862721165,1.03103098245816,0.234651218998271
"[19,30)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[30,40)",0.298851845157186,0.567464157722925,0.296900716318812,0.102991116506518,0.110536006944574,NA,1.56734693877551,1.53207767385186,0.925430779442284,0.462027664331284
"[40,50)",0.0606774849974706,0.119431183804629,0.459646357998693,0.232431878360418,0.0423087002664868,NA,1.35206396423478,2.0655624568668,0.944342453482204,0.452079125375909
"[50,60)",0.0251030217861057,0.125797414907742,0.194453873210332,0.138635749253867,0.189324116743472,NA,0.793276792675774,0.917262986894533,2.27342549923195,1.10196726051371
"[60,+)",0.0326309003200348,0.0349398649670016,0.0827878818687482,0.0591782652443026,0.0327070800563206,NA,0.300630836557456,0.333321667075965,0.83647589007693,2.35209235209235
