"","[0,3)","[3,7)","[7,13)","[13,16)","[16,19)","[19,30)","[30,40)","[40,50)","[50,60)","[60,+)"
"[0,3)",1.17687074829932,0.175606720873967,0.00793650793650794,0.0146950671516946,0,0.179425782213847,1.44378547380212,0.260770975056689,0.502093378553169,0.252516557246838
"[3,7)",0.104682662717795,7.79310344827586,0.119226185329817,0,0,0.259139393664226,1.6426312263368,0.750210976009928,0.20935960591133,0.330203236956752
"[7,13)",0.00302457389262912,0.0762206706167545,10.675974025974,0.331325380153015,0.0431756940630488,0.173380299959042,0.715607671426996,1.56155987937658,0.344864622056322,0.186167350846101
"[13,16)",0.0115207373271889,0,0.681598554186256,11.6391350584899,1.01251799499783,0.188084626315792,0.288018433179723,1.86732325091028,0.845090303836126,0.308759639159416
"[16,19)",0,0,0.0754200037688197,0.859757586896528,5.5,0.357204905705636,0.0589085401159789,0.418556614902612,0.546400315619086,0.171985999804765
"[19,30)",0.0247294132555163,0.0599140634035039,0.0627038157022725,0.033065383391088,0.0739544671575649,3.12686048129086,0.924146690291851,0.22778496709548,0.569215401982032,0.230762225041828
"[30,40)",0.205891324911922,0.392954102550576,0.26777845021147,0.052389826958924,0.0126191956603075,0.956196894514825,2.81501547987616,1.49072290845274,0.578491188726062,0.481660554179173
"[40,50)",0.0328179225147989,0.158380467552991,0.515674590580409,0.299752379573346,0.0791268866260802,0.207992621847255,1.3155682375495,2.45238095238095,1.15849195556731,0.627233297656177
"[50,60)",0.061376297143205,0.0429314398515059,0.110619092166368,0.131768198576273,0.100333315780969,0.504851752939113,0.495881102053216,1.12527165070101,2.39426691729323,1.75030948671944
"[60,+)",0.0234309979042634,0.0513982845447251,0.0453283280361977,0.0365437196458222,0.0239724297542313,0.155359093840088,0.313405509060138,0.462464282655093,1.32861631944602,2.59774436090226
