"","[0,3)","[3,7)","[7,13)","[13,16)","[16,19)","[19,30)","[30,40)","[40,50)","[50,60)","[60,+)"
"[0,3)",0.285714285714286,0.112333583466961,0,0,0,0.119047619047619,1.09835714370617,0.119047619047619,0,0.0726214930529673
"[3,7)",0.0669642857142857,7.71428571428571,0.0960437063458898,0,0,0.309411878507628,0.940993528670167,0.396355711357543,0.37749712601579,0.181743658338806
"[7,13)",0,0.0614002342350508,11.6071428571429,0.172347448749852,0,0.186507379132451,1.94103910766631,1.48234999876175,0.599084614655202,0.179034978458845
"[13,16)",0,0,0.354551081572251,7.46320346320346,0.149054955274713,0.286141115828616,0.754863598188244,1.92571182237333,0.999160574424911,0.0476190476190476
"[16,19)",0,0,0,0.12656676651187,4.85714285714286,0.206663433409181,0.503879384582476,0.333308872228292,0.971017845856906,2.14309953429385
"[19,30)",0.01640777446914,0.0715372628012074,0.0674512867436363,0.0503037695539313,0.0427868818557709,2.66483516483516,0.266227256930472,0.504222843319767,0.886935203174731,0.293191912042394
"[30,40)",0.156631446740217,0.225106683494077,0.726331570781328,0.137307785651328,0.107939401158523,0.275460247800838,1.7231548938866,1.15030816050987,0.716267884419678,0.615759915506888
"[40,50)",0.0149820950611038,0.0836764655403755,0.489517077637465,0.309125214848333,0.0630110537147078,0.460410678169977,1.01515101886471,1.57603686635945,1.21137683235508,0.406805015446272
"[50,60)",0,0.0774098474685092,0.192162929931311,0.155791148452148,0.17830414326707,0.786645601132743,0.613982917654341,1.17664002862897,2.67195767195767,1.37294535373532
"[60,+)",0.00673854447439353,0.0282895841712197,0.0435917264582277,0.00563602526136215,0.298717936928036,0.197389454742398,0.400660897189593,0.299940692485335,1.04216860876372,1.97948487571129
