"","[0,3)","[3,7)","[7,13)","[13,16)","[16,19)","[19,30)","[30,40)","[40,50)","[50,60)","[60,+)"
"[0,3)",0.5625,0.209028956066663,0,0,0,0.186134319365365,1.06193925964693,0.125,0.377931126131432,0.204753876656776
"[3,7)",0.12460632256714,7.80952380952381,0.0944692475123494,0,0,0.236214741591323,0.939086530383719,0.514488622385533,0.200680272108844,0.261064565944106
"[7,13)",0,0.0603936910178964,10.5321821036107,0.26096581371568,0.0332197745489531,0.13475307111629,1.25363991071169,1.41495568391286,0.326335857048997,0.134569189289544
"[13,16)",0,0,0.536855707336698,11.1817602040816,0.896167800677619,0.107800267036639,0.398886623549102,1.72107518633098,0.819932779279991,0.127281259301088
"[16,19)",0,0,0.0580288418299133,0.76096135532545,5.7436974789916,0.313802982991054,0.136032736065243,0.402211443699302,0.656552661808881,1.96488298272457
"[19,30)",0.0256540194381559,0.0546137922313838,0.0487340934269183,0.0189513477472819,0.0649686833211698,2.93555316863588,0.734911642211018,0.316122628168341,0.585233042065328,0.148572997797094
"[30,40)",0.151438066881852,0.224650486882079,0.469108655227528,0.0725564713107331,0.0291404898039331,0.76039901176624,2.60214285714286,1.23850628610789,0.552842623162211,0.625954852895676
"[40,50)",0.015731199814159,0.108616044245981,0.467261424059185,0.276275884357923,0.0760368804891826,0.288654581100681,1.09298617655246,2.01511354142933,1.23990157354162,0.529373561683117
"[50,60)",0.0461986038611989,0.041151649067746,0.104675788524919,0.127845586192303,0.120560152805676,0.519058209134505,0.473895220149128,1.20434680936797,2.61393561979118,1.71891364042469
"[60,+)",0.0189991013149487,0.0406364000807713,0.0327651241098885,0.0150645682470973,0.273877055877336,0.100025757260219,0.407294509833282,0.390311492350893,1.30478451480431,2.21778872468528
