"","[0,3)","[3,7)","[7,13)","[13,16)","[16,19)","[19,30)","[30,40)","[40,50)","[50,60)","[60,+)"
"[0,3)",0.619195046439628,0.106634117621547,0,0,0,0.0919946926138877,1.17072091994693,0.204776647501106,0.198805838124724,0.148385670057497
"[3,7)",0.0635667206450349,7.17111459968603,0.0900095619188882,0,0,0.331965991155465,1.01742188913083,0.489348354999181,0.259811616954474,0.214415705216559
"[7,13)",0,0.0575426375707601,10.7714285714286,0.0714285714285714,0,0.0428571428571429,2.90581017993893,0.97256168397402,0.492218523652755,0.0142857142857143
"[13,16)",0,0,0.146941990954088,10.8571428571429,0.414009341042271,0.168167753212396,0.613242343162136,2.11192105648297,1.22824491972165,0.0952380952380952
"[16,19)",0,0,0,0.351547008315528,3.66666666666667,0,0.289948395575064,0.271143747469076,0.311533058472944,3.33082725842122
"[19,30)",0.0126791966176389,0.0767518637774806,0.0154994909333706,0.0295639858658606,0,2.51020408163265,0.284129877374559,0.293536577324416,0.527374269056186,0.183276456227193
"[30,40)",0.166950897957997,0.24339005550887,1.08734628995958,0.111547236360743,0.062111801242236,0.293983746561524,1.68737060041408,1.10608858179648,0.765039803369065,0.518485641462403
"[40,50)",0.025771058872908,0.103308567508924,0.32116946318941,0.339016483537719,0.0512589212581149,0.268031043067838,0.976127084300284,1.56060606060606,0.817810109496498,0.59717278528269
"[50,60)",0.0243021850431649,0.0532771675674991,0.157884464661166,0.191510445389708,0.0572055759092342,0.467741777999892,0.655790076327115,0.794359017730467,2.2468671679198,1.44673582414756
"[60,+)",0.0137686984253523,0.0333752010705516,0.00347830884648276,0.0112720505227243,0.46427047879841,0.123389623914911,0.337366751320993,0.440300418997029,1.09818111623921,1.73809523809524
